,interest_rate,grade,debt_to_income
8333,12.98,B,11.62
8334,10.49,B,14.39
8335,14.99,C,24.11
8336,10.49,B,32.91
8337,15.99,D,1.98
8338,15.61,D,10.38
8339,15.05,C,21.24
8340,10.41,B,6.18
8341,10.08,B,25.98
8342,11.48,B,38.78
8343,6.03,A,10.52
8344,7.89,A,12.88
8345,18.25,D,33.54
8346,18.55,E,37.74
8347,9.76,B,14.4
8348,8.99,B,21.21
8349,24.84,E,11.84
8350,6.71,A,9.48
8351,12.61,C,14.92
8352,22.99,F,9.31
8353,12.69,C,12.12
8354,15.61,D,28.3
8355,13.49,C,12.36
8356,6.46,A,32.47
8357,14.07,C,21.35
8358,15.8,C,21.08
8359,11.49,B,26.58
8360,10.42,B,4.71
8361,8.38,B,13.28
8362,12.88,C,5.51
8363,18.94,D,19.11
8364,9.99,B,18.43
8365,14.08,C,18.97
8366,13.33,C,5.94
8367,16.99,D,21.14
8368,12.69,C,14.57
8369,10.42,B,6.79
8370,17.57,D,28.89
8371,8.18,B,16.79
8372,17.77,D,25.65
8373,8.39,A,10.99
8374,10.47,B,21.13
8375,13.59,C,21.51
8376,10.42,B,5.87
8377,8.18,B,9.27
8378,8.08,A,34.73
8379,14.08,C,15.29
8380,10.49,B,11.52
8381,18.99,D,15.89
8382,13.67,C,23.91
8383,13.67,C,1.69
8384,10.91,B,6.96
8385,24.74,E,22.51
8386,9.93,B,8.14
8387,8.9,A,10.05
8388,16.02,C,15.92
8389,14.49,C,9.46
8390,11.39,B,18.42
8391,12.99,C,24.48
8392,22.9,E,8.42
8393,10.42,B,25.33
8394,9.17,B,22.8
8395,11.55,B,8.47
8396,19.53,D,32.61
8397,7.97,A,19.34
8398,10.16,B,22.86
8399,10.75,B,15.41
8400,13.99,C,14.98
8401,11.06,B,24.66
8402,6.24,A,13.99
8403,6.99,A,25.79
8404,9.99,B,29.19
8405,12.99,C,12.61
8406,8.18,B,9.9
8407,16.02,C,12.08
8408,25.82,E,4.01
8409,7.89,A,32.59
8410,8.24,B,20.95
8411,16.02,C,6.74
8412,11.99,C,13
8413,15.59,C,26.33
8414,9.44,B,38.89
8415,11.99,B,5.47
8416,11.49,B,26.45
8417,16.78,C,23.09
8418,10.99,B,15.13
8419,11.49,B,15
8420,16.49,D,19.15
8421,7.89,A,9.98
8422,15.02,C,20.61
8423,9.44,B,0.72
8424,11.39,B,15.67
8425,8.19,A,8.41
8426,8.49,B,6.75
8427,15.31,C,14.35
8428,12.29,C,27.74
8429,15.31,C,10.8
8430,14.27,C,18.11
8431,20,D,31.61
8432,11.39,B,21.84
8433,12.29,C,20.71
8434,24.08,F,8.8
8435,15.61,D,15.37
8436,6.07,A,11.22
8437,9.44,B,26.48
8438,15.1,C,8.25
8439,18.45,D,19.15
8440,7.35,A,26.23
8441,17.09,D,43.03
8442,8.24,B,23.29
8443,10.91,B,34.29
8444,15.05,C,23.23
8445,12.99,C,21.53
8446,15.99,C,20.94
8447,24.85,E,48.79
8448,14.49,C,15.33
8449,9.17,B,27.71
8450,11.99,B,15.35
8451,20.39,D,24.1
8452,18.06,D,33.89
8453,19.05,D,8.16
8454,9.49,B,26.31
8455,15.49,C,18.37
8456,23.5,F,16.98
8457,7.62,A,9.56
8458,9.99,B,21.61
8459,11.05,B,20.07
8460,14.49,C,24.89
8461,22.74,E,20.92
8462,18.94,D,10.59
8463,12.62,C,8.79
8464,9.75,B,11.46
8465,13.67,C,15.82
8466,8.24,B,17.2
8467,9.75,B,8.12
8468,12.79,C,16.57
8469,17.57,D,31.19
8470,19.03,D,33.54
8471,16.01,C,12.91
8472,11.99,B,7.46
8473,9.44,B,26.55
8474,8.39,B,14.64
8475,11.99,C,5.23
8476,9.44,B,
8477,9.17,B,32.03
8478,15.8,C,9.03
8479,7.26,A,2.98
8480,10.99,B,13.55
8481,5.32,A,14.06
8482,11.99,C,15.21
8483,6.62,A,0
8484,21.49,E,15.14
8485,10.47,B,9.11
8486,13.11,B,22.64
8487,11.53,B,4.77
8488,12.73,B,26.83
8489,9.76,B,18.93
8490,11.99,B,25.54
8491,14.33,C,22.03
8492,16.46,C,16
8493,9.92,B,15.57
8494,11.98,B,33.06
8495,11.99,B,16.25
8496,16.99,D,27.94
8497,5.31,A,29.63
8498,5.32,A,23.82
8499,19.99,E,39.74
8500,7.21,A,17.05
8501,12.61,C,23.07
8502,6.89,A,16.78
8503,10.42,B,17.04
8504,21.45,D,60.47
8505,13.33,C,30.63
8506,18.99,D,17.53
8507,10.99,B,15.43
8508,20.89,D,27.69
8509,14.99,C,19.72
8510,22.91,E,6.35
8511,10.42,B,24.09
8512,12.62,C,6.58
8513,9.49,B,15.22
8514,14.47,C,25.63
8515,12.99,C,24.16
8516,10.42,B,15.94
8517,12.99,C,5.66
8518,6.89,A,5.18
8519,7.49,A,22.98
8520,10.99,B,16.84
8521,17.1,C,17.9
8522,16.02,C,26.31
8523,15.58,D,13.75
8524,6.24,A,3.88
8525,14.49,C,11.15
8526,23.13,G,7.86
8527,5.32,A,15.01
8528,11.49,B,20.55
8529,15.05,C,14.99
8530,6.24,A,9.25
8531,16.2,C,13.35
8532,9.67,B,8.96
8533,7.89,A,12.32
8534,22.91,E,27.69
8535,14.65,C,11.94
8536,17.09,D,11.79
8537,7.02,A,8.48
8538,24.5,F,10.43
8539,20.89,D,10.67
8540,25.34,E,50.79
8541,15.31,C,19.99
8542,9.58,B,6.6
8543,7.89,A,14.32
8544,15.99,C,20.98
8545,6.08,A,14.35
8546,11.44,B,26.07
8547,21.85,D,2.2
8548,6.03,A,14.5
8549,10.91,B,12.46
8550,15.05,C,17.23
8551,8.39,B,22.39
8552,27.27,E,36.75
8553,17.57,D,27.93
8554,16.59,D,25.92
8555,11.49,B,10.26
8556,9.17,B,15.5
8557,7.35,A,7.07
8558,6.71,A,23.66
8559,13.67,C,31.66
8560,14.33,C,18.5
8561,11.53,B,25.04
8562,12.99,C,24.56
8563,10.16,B,20.74
8564,18.55,E,7.49
8565,15.05,C,22.91
8566,12.99,C,15.6
8567,15.05,C,37.71
8568,5.32,A,16.91
8569,7.99,A,17.57
8570,8.39,B,14
8571,16.29,D,18.09
8572,7.26,A,12.12
8573,16.91,C,7.09
8574,10.75,B,1.76
8575,11.49,B,22.77
8576,12.99,C,21.05
8577,7.21,A,15.96
8578,6.07,A,170.67
8579,10.99,B,13.17
8580,12.29,C,17.35
8581,10.99,B,18
8582,9.67,B,19.89
8583,26.49,F,34.11
8584,10.42,B,10.88
8585,9.16,B,29.32
8586,11.49,B,9.53
8587,16.14,C,18.74
8588,12.99,B,14.61
8589,13.99,C,18.08
8590,16.01,C,26.51
8591,15.88,C,19.85
8592,13.11,B,21.31
8593,9.67,B,8.78
8594,8.19,A,22.49
8595,15.31,C,20.87
8596,15.59,C,17.56
8597,7.97,A,23.9
8598,7.97,A,24.6
8599,15.1,C,22.59
8600,11.99,C,23.53
8601,9.67,B,27.23
8602,18.55,E,27.86
8603,14.65,C,23.75
8604,12.62,C,14.97
8605,7.07,A,12.38
8606,10.47,B,21.47
8607,12.39,C,36.69
8608,8.24,B,11.98
8609,17.99,D,18.76
8610,14.98,C,17.56
8611,7.99,A,10.05
8612,14.84,D,9.52
8613,6.03,A,21.06
8614,10.47,B,26.93
8615,8.9,A,13.48
8616,12.62,C,27.74
8617,5.32,A,19.05
8618,9.99,B,5.65
8619,8.19,A,12.61
8620,5.32,A,7.09
8621,12.62,C,18.72
8622,13.99,C,35.64
8623,19.19,E,20.09
8624,14.47,C,11.91
8625,14.16,C,31.93
8626,6.92,A,17.41
8627,7.21,A,23.68
8628,14.46,C,10.16
8629,13.8,C,5.47
8630,17.77,D,28.76
8631,15.59,D,14.73
8632,11.99,B,13.1
8633,11.44,B,17
8634,16.14,C,30.34
8635,19.92,D,17.98
8636,12.29,C,29.56
8637,18.99,E,22.34
8638,11.14,B,14.52
8639,11.05,B,1.46
8640,6.11,A,23.96
8641,11.53,B,17.36
8642,15.61,D,13.51
8643,10.99,B,29.24
8644,22.15,E,15.18
8645,24.89,F,18.8
8646,15.49,C,3.1
8647,9.99,B,15.79
8648,12.69,C,25.18
8649,9.99,B,14.83
8650,10.56,B,13.2
8651,8.19,A,5.51
8652,7.05,A,16.38
8653,7.34,A,20.2
8654,11.99,B,13.04
8655,14.99,C,20.53
8656,14.65,C,34.5
8657,9.93,B,18.3
8658,15.61,D,19.18
8659,6.68,A,24.29
8660,16.29,D,13.1
8661,11.05,B,26.36
8662,14.31,C,18.18
8663,6.67,A,19.69
8664,10.9,B,15.61
8665,15.31,C,17.09
8666,15.05,C,11.28
8667,13.99,C,6.99
8668,11.53,B,20.03
8669,7.89,A,2.87
8670,11.14,B,18.52
8671,14.33,C,14.85
8672,10.16,B,4.37
8673,10.49,B,10.5
8674,7.84,A,12.15
8675,14.07,C,37.29
8676,13.11,B,25.76
8677,11.49,B,4.82
8678,10.49,B,11.91
8679,13.99,C,21.16
8680,11.53,B,21.57
8681,11.44,B,19.8
8682,6.49,A,22.42
8683,13.56,C,40.04
8684,5.32,A,9.84
8685,16.55,D,35.74
8686,10.64,B,6.07
8687,7.62,A,22.44
8688,15.59,C,22.28
8689,13.49,C,24.92
8690,13.59,C,13.09
8691,5.32,A,13.52
8692,10.91,B,18.77
8693,11.98,B,28.28
8694,11.39,B,8.18
8695,7.69,A,20.7
8696,22.91,E,23.53
8697,7.35,A,22.95
8698,15.59,D,31.97
8699,25.49,E,17.19
8700,11.44,B,19.95
8701,19.99,E,21.36
8702,11.05,B,18.82
8703,10.08,B,21.4
8704,23.13,F,15.25
8705,16.01,C,10.23
8706,15.05,C,6.86
8707,29.67,G,25.77
8708,15.02,C,50.68
8709,14.99,C,15.32
8710,7.89,A,18.19
8711,6.89,A,12.06
8712,18.99,E,6.62
8713,7.89,A,8.19
8714,6.08,A,16.16
8715,11.44,B,26.84
8716,11.55,B,14.8
8717,18.45,D,71.23
8718,11.99,C,23.19
8719,16.59,D,9.03
8720,15.61,D,23.6
8721,7.07,A,7.17
8722,12.99,C,17.04
8723,14.08,C,20.36
8724,13.58,C,9.88
8725,10.47,B,20.93
8726,11.99,C,10.08
8727,13.18,C,12.54
8728,20,D,20.96
8729,9.44,B,17.83
8730,11.22,B,6.59
8731,11.99,B,24.19
8732,13.59,C,14.36
8733,7.99,A,22.09
8734,13.67,C,27.08
8735,14.46,C,23.78
8736,6.72,A,15.79
8737,6.72,A,12.08
8738,21.18,E,20.38
8739,13.99,C,22.58
8740,16.02,C,16
8741,16.99,D,11.22
8742,7.62,A,8.82
8743,13.98,C,3.51
8744,13.66,C,13.56
8745,19.03,D,23.84
8746,14.65,C,13.85
8747,9.44,B,0.29
8748,12.99,C,23.7
8749,10.91,B,19.63
8750,6.67,A,21.75
8751,10.56,B,7.72
8752,12.12,B,16.21
8753,13.99,C,13.8
8754,11.67,B,20.07
8755,15.41,D,10.7
8756,11.99,B,34.09
8757,10.99,B,29.51
8758,15.61,D,17.09
8759,9.17,B,21.15
8760,13.49,C,8.98
8761,10.99,B,20.91
8762,11.06,B,39.23
8763,18.99,D,29.92
8764,24.99,F,26.71
8765,12.79,C,16.89
8766,11.49,B,25.35
8767,16.14,C,34.58
8768,6.07,A,11.39
8769,10.91,B,28.8
8770,8.18,B,18.56
8771,12.39,C,29.87
8772,10.99,B,28.96
8773,30.17,F,58.6
8774,11.53,B,11.48
8775,13.35,C,19.77
8776,13.99,C,17.01
8777,10.08,B,27.08
8778,12.69,C,33.67
8779,7.21,A,14.08
8780,18.45,D,18.1
8781,13.66,C,25.25
8782,17.97,D,22.71
8783,17.57,D,25.53
8784,10.99,B,10.25
8785,8.24,B,16.79
8786,9.17,B,4.69
8787,7.24,A,21.6
8788,11.06,B,15.24
8789,6.07,A,20.15
8790,10.15,B,14.42
8791,11.99,B,13.6
8792,19.05,D,22.31
8793,18.25,E,38.86
8794,12.12,B,20.91
8795,10.75,B,22.24
8796,8.46,A,24.19
8797,16.29,D,12.79
8798,18.45,D,12.9
8799,6.11,A,27.49
8800,7.02,A,29.72
8801,20.89,D,17.66
8802,14.33,C,14.05
8803,12.12,B,24.12
8804,15.61,C,9.43
8805,13.49,C,29.16
8806,8.18,B,3.37
8807,11.14,B,25.99
8808,15.99,C,6.65
8809,8.9,A,15.31
8810,13.33,C,24.39
8811,23.87,E,29.41
8812,8.39,B,36.63
8813,16.91,C,18.89
8814,18.49,D,28.65
8815,7.26,A,4.63
8816,11.49,B,8
8817,15.05,C,26.82
8818,7.96,A,33.95
8819,14.99,C,16.23
8820,9.49,B,16.27
8821,15.41,D,36.43
8822,15.99,C,21.99
8823,13.33,C,16.14
8824,11.53,B,20.92
8825,9.17,B,14.87
8826,7.46,A,20.9
8827,23.43,F,26.51
8828,10.99,B,19.78
8829,19.92,D,23.73
8830,11.44,B,26.8
8831,7.99,A,22.34
8832,8.49,A,24.87
8833,19.99,D,26.16
8834,12.69,C,33.18
8835,11.44,B,8.91
8836,14.08,C,2.4
8837,17.97,D,26.98
8838,6.92,A,1.68
8839,25.49,E,22.52
8840,15.61,C,5.63
8841,25.29,E,30.14
8842,15.59,C,22.53
8843,12.79,C,10.56
8844,14.49,C,11.2
8845,10.42,B,10.45
8846,10.99,B,14.93
8847,15.59,C,23.04
8848,9.44,B,13.78
8849,6.72,A,8.66
8850,7.97,A,25.28
8851,23.99,E,27.59
8852,7.89,A,17.64
8853,10.08,B,16.98
8854,14.99,C,1.02
8855,11.67,B,21.85
8856,7.89,A,11.37
8857,9.16,B,40.48
8858,10.72,B,18.02
8859,18.99,D,13.02
8860,5.32,A,6.33
8861,18.06,D,12.48
8862,10.99,B,20.52
8863,16.29,D,27.45
8864,5.32,A,5.41
8865,7.35,A,19.88
8866,7.34,A,9.17
8867,7.46,A,9.03
8868,30.79,G,38.23
8869,16.55,D,17.97
8870,7.9,A,19.17
8871,14.65,C,25.87
8872,11.48,B,15.3
8873,10.64,B,25.77
8874,19.05,D,22.27
8875,6.99,A,23.55
8876,11.99,B,32.06
8877,10.56,B,18.07
8878,6.46,A,8
8879,6.71,A,5.14
8880,14.33,C,2.03
8881,8.39,A,15.59
8882,5.32,A,20.31
8883,13.67,C,27.15
8884,10.91,B,14.44
8885,9.99,B,6.69
8886,7.56,A,22.96
8887,11.67,B,14.03
8888,15.05,C,31.07
8889,12.79,C,13.53
8890,7.24,A,27.33
8891,16,D,11.53
8892,22.35,D,4.16
8893,16.99,D,10.37
8894,9.99,B,1.05
8895,8.24,B,16.13
8896,12.99,C,19.71
8897,5.32,A,21.04
8898,18.06,D,37.15
8899,13.99,C,14.84
8900,11.47,B,10.21
8901,18.24,D,18.6
8902,11.99,C,27.51
8903,14.08,C,8.47
8904,12.79,C,5.01
8905,11.99,C,16.99
8906,13.18,C,12.1
8907,14.52,C,19.57
8908,30.74,F,27.75
8909,28.72,F,16.9
8910,7.07,A,12.55
8911,8.18,B,5.73
8912,9.44,B,19.46
8913,13.58,C,23.45
8914,12.99,C,11.77
8915,13.59,C,18.52
8916,16.99,D,36.79
8917,19.42,D,18.51
8918,24.85,E,27.43
8919,7.39,A,24.39
8920,21.45,D,13.06
8921,9.49,B,15.09
8922,12.99,C,14.75
8923,16.01,C,30.74
8924,14.99,C,31.27
8925,5.32,A,11.76
8926,7.99,A,19.06
8927,20,D,13.31
8928,10.47,B,8.56
8929,22.47,E,15.11
8930,15.05,C,13.73
8931,13.58,C,22.53
8932,16.14,C,9.3
8933,13.18,C,12.84
8934,6.07,A,29.22
8935,10.65,B,10.22
8936,17.09,D,18.13
8937,7.89,A,13.56
8938,13.33,C,32.42
8939,11.98,B,8.42
8940,5.32,A,6.84
8941,6.99,A,17.39
8942,6.83,A,8.67
8943,7.84,A,26.69
8944,20.99,E,14.68
8945,12.68,C,11.89
8946,12.35,B,25.03
8947,7.26,A,14.14
8948,10.72,B,6.76
8949,13.59,C,27.36
8950,19.99,D,21.68
8951,14.99,C,8.14
8952,17.86,D,12.4
8953,8.39,A,24.12
8954,10.49,B,18
8955,7.89,A,18.7
8956,15.02,C,17.27
8957,30.84,G,6.67
8958,9.93,B,32.84
8959,11.44,B,11.49
8960,14.08,C,24.12
8961,7.62,A,30.41
8962,7.21,A,24.2
8963,19.42,D,14.83
8964,16.91,C,22.21
8965,14.64,C,32.55
8966,10.99,B,21.25
8967,10.41,B,15.4
8968,6.49,A,24.81
8969,20.99,E,9.42
8970,22.35,D,4.69
8971,10.56,B,17.34
8972,9.92,B,25.84
8973,12.79,C,15.48
8974,8.24,B,22.68
8975,8.39,A,19.08
8976,17.57,D,17.46
8977,16.14,C,7.63
8978,11.99,B,19.62
8979,17.09,D,32
8980,16.02,C,28.74
8981,12.99,C,6.7
8982,7.46,A,10.94
8983,5.32,A,25.52
8984,11.49,B,10.82
8985,7.49,A,17.98
8986,10.08,B,18.75
8987,13.49,C,25.74
8988,8.19,A,24.96
8989,16.99,D,2.49
8990,5.32,A,6.26
8991,9.16,B,12.75
8992,14.99,C,12.04
8993,6.11,A,11.2
8994,17.99,D,20.04
8995,22.47,E,27.73
8996,10.42,B,7.95
8997,13.99,C,9.79
8998,11.06,B,6.11
8999,8.24,B,30.24
9000,16.14,C,18.24
9001,22.15,E,19.61
9002,5.32,A,21.74
9003,14.46,C,15.49
9004,12.29,C,20.84
9005,13.59,C,23.17
9006,12.79,C,25.48
9007,10.49,B,24.56
9008,10.49,B,21.63
9009,26.3,E,16.32
9010,15.49,C,69
9011,13.33,C,24.6
9012,13.35,C,26.18
9013,10.47,B,11.82
9014,5.32,A,22.85
9015,13.99,C,5.16
9016,9.58,B,15.62
9017,21.49,D,14.48
9018,13.35,C,26.68
9019,20.75,E,30.19
9020,8.9,A,12.08
9021,5.31,A,28.82
9022,6.11,A,14.94
9023,7.39,A,17.4
9024,11.99,B,13.76
9025,10.99,B,14.06
9026,11.99,B,22.88
9027,16.99,D,22.78
9028,14.09,B,10.91
9029,20.3,E,20.34
9030,16.02,C,18.81
9031,6.11,A,27.54
9032,13.99,C,31.65
9033,12.12,B,19.35
9034,6.71,A,2.14
9035,5.99,A,12.7
9036,12.49,B,34.05
9037,6.08,A,20.11
9038,11.49,B,12.89
9039,7.89,A,33.6
9040,16.24,C,23.22
9041,6.07,A,6.27
9042,10.99,B,7.5
9043,13.49,C,13.6
9044,16.01,C,26.23
9045,20,D,10.81
9046,30.84,G,30.49
9047,15.61,D,29.18
9048,10.75,B,34.98
9049,9.44,B,10.38
9050,20.39,D,23.45
9051,7.14,A,4.8
9052,13.67,B,11.44
9053,18.25,E,17.87
9054,18.94,D,20.27
9055,15.31,C,21.49
9056,12.29,C,33.22
9057,19.99,D,14.35
9058,9.17,B,18.31
9059,14.99,C,20.22
9060,7.62,A,29.52
9061,14.08,C,3.03
9062,15.99,C,14.27
9063,7.89,A,10.67
9064,20.99,E,19.37
9065,17.97,D,16.23
9066,16.91,C,28.88
9067,12.59,C,34.27
9068,10.72,B,9.51
9069,16.55,D,23.68
9070,8.46,A,16.6
9071,8.46,A,1.44
9072,7.84,A,18.2
9073,14.99,C,32.99
9074,18.49,E,32.16
9075,13.99,C,11.89
9076,14.3,C,20.54
9077,10.91,B,22.03
9078,29.49,F,6.15
9079,12.69,C,19.81
9080,7.24,A,11.63
9081,16.29,D,16.73
9082,7.21,A,27.89
9083,7.84,A,9.36
9084,11.44,B,9.16
9085,7.59,A,25.18
9086,23.99,E,31.67
9087,11.49,B,9.98
9088,16.99,D,14.38
9089,19.05,D,9.01
9090,10.72,B,1.51
9091,11.99,B,24.61
9092,18.06,D,28.23
9093,5.32,A,7.98
9094,6.67,A,14.8
9095,10.07,B,4.1
9096,6.11,A,20.24
9097,5.32,A,15.47
9098,12.05,C,26.22
9099,18.75,D,16.19
9100,19.92,D,20.08
9101,21.18,E,25.58
9102,26.49,F,14.24
9103,16.99,D,8.42
9104,20.5,E,25.57
9105,17.76,D,14.51
9106,6.72,A,11.62
9107,10.99,B,11.26
9108,19.89,E,10.97
9109,15.31,C,24.33
9110,20,D,22.8
9111,12.99,C,13.18
9112,5.32,A,25.83
9113,9.17,B,6.75
9114,11.06,B,25.8
9115,11.55,B,23.12
9116,14.99,C,16.4
9117,10.75,B,33.64
9118,14.47,C,6.88
9119,18.99,E,37.2
9120,11.47,B,17.43
9121,9.75,B,25.81
9122,9.93,B,11.98
9123,15.99,C,12.7
9124,10.99,B,10.71
9125,17.57,D,23.04
9126,5.32,A,18.73
9127,10.33,B,16.67
9128,14.09,B,7.07
9129,13.66,C,20.05
9130,16.55,D,26.82
9131,8.19,A,31.2
9132,12.12,B,12.92
9133,6.24,A,12.84
9134,13.98,C,12.66
9135,23.99,E,24.04
9136,25.81,E,20.96
9137,19.03,D,13.69
9138,12.99,C,23.55
9139,7.24,A,9.88
9140,19.99,D,17.86
9141,9.17,B,22.61
9142,16.02,C,30.32
9143,18.25,D,30.52
9144,9.76,B,25.58
9145,15.31,C,5.05
9146,8.18,B,20.22
9147,7.91,A,14.55
9148,9.17,B,18.93
9149,23.99,E,30.43
9150,12.73,B,27.95
9151,8.18,B,16.03
9152,6.49,A,9.64
9153,18.06,D,16.5
9154,6.11,A,0.87
9155,5.32,A,10.89
9156,13.59,C,23.4
9157,5.32,A,4.54
9158,11.14,B,23.21
9159,13.67,C,27.91
9160,5.31,A,8.24
9161,17.99,D,16.15
9162,10.42,B,15.36
9163,13.67,B,13.55
9164,10.75,B,32.62
9165,11.99,C,30.88
9166,10.41,B,19.38
9167,25.49,E,31.82
9168,21.99,F,7.26
9169,5.32,A,9.78
9170,8.24,B,6.7
9171,12.74,C,24.43
9172,12.79,C,24.39
9173,7.84,A,15.09
9174,7.29,A,10.35
9175,13.49,C,26.6
9176,14.49,C,20.69
9177,7.35,A,9.66
9178,11.39,B,7.58
9179,15.02,C,7.16
9180,18.06,D,9.81
9181,10.42,B,25.69
9182,8.18,B,31.91
9183,14.65,C,32.16
9184,7.21,A,15.27
9185,16.55,D,37.31
9186,18.06,D,35.12
9187,14.49,C,15.18
9188,13.05,B,26.19
9189,22.47,E,10.39
9190,10.42,B,27.03
9191,10.08,B,23.26
9192,6.67,A,10.58
9193,15.99,C,4.03
9194,12.05,C,7
9195,10.99,B,13.6
9196,16.02,C,20.59
9197,16.02,C,3.8
9198,13.33,C,15.79
9199,14.64,C,3.71
9200,8.18,B,4.48
9201,6.99,A,4.11
9202,11.44,B,6.91
9203,5.32,A,15.62
9204,7.49,A,12.2
9205,14.33,C,6.13
9206,18.99,D,26.29
9207,16.91,C,37.53
9208,14.08,C,21.94
9209,16.99,D,20.93
9210,21.18,E,19.91
9211,7.56,A,10.63
9212,11.53,B,25.58
9213,8.46,A,4.69
9214,15.61,D,7.99
9215,15.62,C,4.83
9216,16.14,C,10.89
9217,7.84,A,23.07
9218,13.59,C,23.4
9219,15.99,C,16.49
9220,9.99,B,14.16
9221,6.89,A,7.78
9222,12.29,C,24.36
9223,19.92,D,32.9
9224,12.69,C,36.8
9225,10.99,B,26.5
9226,8.9,A,23.2
9227,12.99,B,7.83
9228,11.55,B,2.58
9229,14.46,C,17.54
9230,10.65,B,13.9
9231,15.05,C,16.88
9232,6.03,A,14.67
9233,12.99,B,33.72
9234,22.15,E,27.65
9235,15.99,C,11.83
9236,7.99,A,8.57
9237,11.44,B,25.92
9238,16.29,D,23.18
9239,7.35,A,15.04
9240,19.99,E,13.27
9241,10.47,B,13.44
9242,7.35,A,6.03
9243,14.08,C,18.09
9244,12.12,B,13.28
9245,12.73,B,8.27
9246,10.08,B,13.4
9247,16.02,C,18.85
9248,12.69,C,30.87
9249,21.49,D,33.73
9250,7.12,A,22.26
9251,6.19,A,15.35
9252,20,D,16.29
9253,12.12,B,16.04
9254,14.64,C,8.53
9255,13.58,C,19.98
9256,5.32,A,11.67
9257,11.39,B,10.63
9258,26.31,E,23.4
9259,15.31,C,29.93
9260,10.91,B,9.36
9261,12.79,C,16.32
9262,16.46,C,4.81
9263,12.85,B,20.78
9264,12.61,C,9.25
9265,9.75,B,28.85
9266,18.06,D,10.21
9267,16.02,C,23.82
9268,9.75,B,28.76
9269,14.65,C,8.04
9270,11.47,B,4.54
9271,7.35,A,26.33
9272,10.99,B,20.95
9273,12.12,B,8.37
9274,6.49,A,21.3
9275,13.99,C,11.17
9276,9.93,B,11.95
9277,9.93,B,12.97
9278,17.14,D,23.18
9279,6.07,A,30.22
9280,7.84,A,31.76
9281,7.62,A,21.2
9282,14.46,C,14.26
9283,22.74,E,13.07
9284,5.32,A,4.31
9285,8.24,B,13.69
9286,13.67,B,30.47
9287,15.61,D,26.37
9288,20.99,E,32.22
9289,11.55,B,26.38
9290,10.16,B,14.18
9291,16.99,D,17.96
9292,8.18,B,18.29
9293,7.62,A,26.66
9294,13.33,C,22.74
9295,25.34,E,25.36
9296,11.44,B,16.18
9297,13.59,C,22.96
9298,10.99,B,11.19
9299,10.99,B,12.4
9300,16.02,C,23.86
9301,13.49,C,16.13
9302,15.05,C,14.57
9303,7.26,A,19.7
9304,19.99,D,23.3
9305,14.65,C,18.46
9306,6.72,A,10.7
9307,9.44,B,8.62
9308,7.89,A,17.16
9309,9.8,B,19.69
9310,16.29,D,21.89
9311,7.89,A,17.61
9312,16.29,D,10.72
9313,14.99,C,12.69
9314,20.49,E,22.72
9315,18.99,D,21.48
9316,10.49,B,24.85
9317,7.97,A,23.36
9318,26.24,E,3.9
9319,5.32,A,24.93
9320,10.56,B,6.94
9321,17.57,D,16.3
9322,11.99,B,25.22
9323,15.31,C,24.08
9324,19.99,D,23.82
9325,17.09,D,88.86
9326,11.99,B,17.41
9327,9.75,B,13.89
9328,25.8,G,19.56
9329,7.39,A,14.39
9330,5.32,A,12.3
9331,12.99,C,27.4
9332,17.27,D,22.93
9333,12.79,C,9.42
9334,13.99,C,7.38
9335,15.99,C,20.43
9336,6.89,A,17.79
9337,10.99,B,28.34
9338,28.99,G,24.46
9339,8.24,B,22.21
9340,12.99,C,27.94
9341,14.09,B,5.4
9342,10.99,B,14
9343,12.62,C,26.99
9344,6.03,A,11.03
9345,14.03,C,20.1
9346,7.69,A,16.35
9347,18.45,D,13.94
9348,15.61,D,4.32
9349,9.17,B,18.8
9350,16.91,C,26.49
9351,18.25,E,19.49
9352,9.75,B,22.64
9353,11.49,B,22.98
9354,13.59,C,33.28
9355,16.02,C,5.79
9356,16.59,D,20.24
9357,24.37,E,27.89
9358,8.46,A,32.83
9359,7.34,A,14.95
9360,14.49,C,7.79
9361,11.14,B,18.56
9362,7.89,A,9.63
9363,15.61,D,12.48
9364,10.42,B,11.44
9365,20,D,2.05
9366,10.16,B,14.34
9367,25.81,E,28.54
9368,14.47,C,21.91
9369,14.99,C,12.69
9370,13.98,C,16.55
9371,6.07,A,13.15
9372,10.49,B,23.9
9373,7.35,A,14.67
9374,6.67,A,25.09
9375,14.46,C,20.32
9376,12.73,B,19.2
9377,18.25,E,14.53
9378,14.46,C,28.22
9379,17.97,D,14.46
9380,16.99,D,10.19
9381,7.96,A,8.9
9382,13.98,C,24.55
9383,6.03,A,7.19
9384,16.14,C,10.61
9385,16.02,C,20.96
9386,7.35,A,9.34
9387,15.05,C,13.19
9388,11.49,B,21.9
9389,6.92,A,9.42
9390,15.05,C,14.83
9391,18.99,D,8.01
9392,13.49,C,12.93
9393,16.99,D,25.3
9394,21.45,D,22.85
9395,12.09,C,10.06
9396,14.31,C,19.34
9397,17.47,D,14.92
9398,10.9,B,25.72
9399,17.86,D,24.17
9400,12.13,B,36.34
9401,25.78,F,30.88
9402,8.18,B,19.88
9403,16.29,D,6.73
9404,18.06,D,23.79
9405,13.33,C,12.12
9406,16.14,C,20.24
9407,17.86,D,29.61
9408,7.69,A,17.28
9409,12.13,B,12.51
9410,8.24,B,17.02
9411,18.45,D,40.67
